open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
1519.8566283214,1522.0375885055,1506.2256271705,1517.5847947962,1477126,600519.SH,2023-12-26,贵州茅台,NA,CNY
1515.7673279761,1524.0822386782,1509.4061941057,1514.9131185707,1605550,600519.SH,2023-12-27,贵州茅台,NA,CNY
1518.4844408722,1570.2822452455,1514.9131185707,1567.5560450153,3833806,600519.SH,2023-12-28,贵州茅台,NA,CNY
1563.0214652991,1589.9017995686,1563.0214652991,1568.4738657595,2753868,600519.SH,2023-12-29,贵州茅台,NA,CNY
1558.4777982488,1561.3766578269,1524.9455354177,1531.2248832812,3215644,600519.SH,2024-01-02,贵州茅台,NA,CNY
1527.680822982,1540.5030513979,1523.3370772819,1539.3943966376,2022929,600519.SH,2024-01-03,贵州茅台,NA,CNY
1538.4856632276,1538.4856632276,1511.1600495871,1516.6760613862,2155107,600519.SH,2024-01-04,贵州茅台,NA,CNY
1509.706076131,1525.4544261273,1501.3275540903,1511.5508049535,2024286,600519.SH,2024-01-05,贵州茅台,NA,CNY
1509.4061941057,1510.3149275158,1490.3318798286,1493.9486388006,2558620,600519.SH,2024-01-08,贵州茅台,NA,CNY
1491.2406132387,1501.5183881064,1485.8427367829,1491.2315259046,2441204,600519.SH,2024-01-09,贵州茅台,NA,CNY
1491.3223992456,1508.0067446542,1488.5053256744,1491.6858926096,1735067,600519.SH,2024-01-10,贵州茅台,NA,CNY
1490.4136658355,1506.6254698709,1488.559849679,1496.2931709986,1644055,600519.SH,2024-01-11,贵州茅台,NA,CNY
1490.2955304922,1500.5551306918,1489.7775524485,1493.1035167293,1160324,600519.SH,2024-01-12,贵州茅台,NA,CNY
1485.7791254442,1503.9265316431,1485.2793220687,1490.3227924945,1785403,600519.SH,2024-01-15,贵州茅台,NA,CNY
1488.9596923794,1496.6839263649,1476.637267339,1489.8048144508,2590314,600519.SH,2024-01-16,贵州茅台,NA,CNY
1481.2354583939,1486.215317481,1433.0725876609,1433.0725876609,5163276,600519.SH,2024-01-17,贵州茅台,NA,CNY
1430.3463874307,1465.6052437409,1413.5802560151,1463.8513882595,6043981,600519.SH,2024-01-18,贵州茅台,NA,CNY
1462.0339214394,1488.5144130085,1454.7731414931,1485.7791254442,4637843,600519.SH,2024-01-19,贵州茅台,NA,CNY
1480.3267249839,1493.0489927247,1471.1303428741,1492.1402593146,4694589,600519.SH,2024-01-22,贵州茅台,NA,CNY
1483.0620125481,1490.277355824,1462.1520567827,1471.2393908833,3483490,600519.SH,2024-01-23,贵州茅台,NA,CNY
1480.3267249839,1484.7249946886,1457.208547032,1477.6005247537,3321635,600519.SH,2024-01-24,贵州茅台,NA,CNY
1478.3456861499,1491.2315259046,1473.9655911135,1488.5053256744,3120580,600519.SH,2024-01-25,贵州茅台,NA,CNY
1481.5626024216,1494.0485994757,1474.8743245235,1487.8873869556,2695475,600519.SH,2024-01-26,贵州茅台,NA,CNY
1490.5954125175,1509.0245260735,1490.5863251834,1499.4101265951,3142068,600519.SH,2024-01-29,贵州茅台,NA,CNY
1499.3919519269,1499.3919519269,1463.0607901928,1465.786990423,3086633,600519.SH,2024-01-30,贵州茅台,NA,CNY
1465.786990423,1472.1208622911,1452.2741246154,1458.4353371356,2964912,600519.SH,2024-01-31,贵州茅台,NA,CNY
1458.9714898475,1475.6830972585,1454.8821895023,1463.0880521951,2648515,600519.SH,2024-02-01,贵州茅台,NA,CNY
1467.6044572431,1479.2180702236,1436.7075213011,1450.338522452,3938202,600519.SH,2024-02-02,贵州茅台,NA,CNY
1450.338522452,1487.9964349648,1449.6569723944,1481.244545728,5313036,600519.SH,2024-02-05,贵州茅台,NA,CNY
1481.244545728,1531.6519879839,1477.6913980947,1523.0371952566,5247204,600519.SH,2024-02-06,贵州茅台,NA,CNY
1527.6081243092,1558.1052175507,1509.9605214859,1554.8337772745,5260107,600519.SH,2024-02-07,贵州茅台,NA,CNY
1563.0305526332,1567.5651323494,1531.2157959471,1550.2991975583,4675654,600519.SH,2024-02-08,贵州茅台,NA,CNY
1579.2605313368,1579.3150553415,1533.9419961773,1540.693885414,3697744,600519.SH,2024-02-19,贵州茅台,NA,CNY
1542.4477408954,1542.4477408954,1505.3714177651,1517.5847947962,3447007,600519.SH,2024-02-20,贵州茅台,NA,CNY
1513.9680358242,1573.0175328098,1510.3149275158,1560.8950291196,4615407,600519.SH,2024-02-21,贵州茅台,NA,CNY
1551.6622976734,1565.7567528634,1545.3284258053,1561.5493171748,2279361,600519.SH,2024-02-22,贵州茅台,NA,CNY
1554.9428252837,1567.0017176352,1544.8649717662,1557.6508508457,2730589,600519.SH,2024-02-23,贵州茅台,NA,CNY
1552.1166643784,1552.7891271019,1531.2339706153,1540.2849553795,2731832,600519.SH,2024-02-26,贵州茅台,NA,CNY
1529.398329127,1538.4129645548,1524.8546620767,1535.3050962924,2207985,600519.SH,2024-02-27,贵州茅台,NA,CNY
1534.7780309145,1541.7298415015,1521.2288157706,1528.0806656824,3186731,600519.SH,2024-02-28,贵州茅台,NA,CNY
1528.0806656824,1541.6662301628,1525.9451421688,1540.3031300477,2475833,600519.SH,2024-02-29,贵州茅台,NA,CNY
1535.7594629974,1540.2758680454,1523.6551339754,1531.2703199517,2686796,600519.SH,2024-03-01,贵州茅台,NA,CNY
1525.7633954868,1527.5717749728,1517.6302314667,1523.3098152796,2648477,600519.SH,2024-03-04,贵州茅台,NA,CNY
1518.3208688584,1542.1205968678,1514.5677998748,1540.3940033887,3623837,600519.SH,2024-03-05,贵州茅台,NA,CNY
1536.6681964074,1540.3031300477,1524.8728367449,1527.1719322723,2214248,600519.SH,2024-03-06,贵州茅台,NA,CNY
1526.6721288968,1535.5777163154,1524.8546620767,1529.9708311753,2159912,600519.SH,2024-03-07,贵州茅台,NA,CNY
1527.1810196064,1532.742468076,1517.6302314667,1518.8842835726,2215623,600519.SH,2024-03-08,贵州茅台,NA,CNY
1522.1284618465,1543.8290156787,1520.4745670402,1539.8396760085,2989509,600519.SH,2024-03-11,贵州茅台,NA,CNY
1539.339872633,1589.4656075318,1536.2138297024,1585.7398005506,5422654,600519.SH,2024-03-12,贵州茅台,NA,CNY
